Anz Daten: 10000; Mittelpunkt:         0.00;   162501.39;   161104.82;

        Abst;       BrSec;       LaSec;
   228742.30;       59.84;       58.92;
   228742.67;       59.47;       58.77;
   228742.75;       58.44;       59.69;
   228742.79;       58.62;       59.45;
   228742.93;       58.21;       59.67;
   228742.94;       58.79;       59.07;
   228743.34;       57.72;       59.58;
   228743.35;       57.65;       59.63;
   228743.36;       59.17;       58.08;
   228743.38;       59.46;       57.76;
   228743.59;       58.65;       58.28;
   228743.66;       56.97;       59.88;
   228743.85;       57.70;       58.87;
   228743.86;       56.75;       59.82;
   228743.94;       56.54;       59.92;
   228743.95;       58.47;       57.95;
   228743.99;       57.70;       58.68;
   228743.99;       58.76;       57.61;
   228744.14;       58.89;       57.26;
   228744.24;       59.36;       56.64;
   228744.28;       59.44;       56.51;
   228744.33;       56.87;       59.03;
   228744.37;       57.62;       58.22;
   228744.40;       57.17;       58.63;
   228744.51;       58.37;       57.26;
   228744.51;       56.81;       58.83;
   228744.54;       56.63;       58.97;
   228744.55;       57.76;       57.82;
   228744.57;       59.00;       56.54;
   228744.70;       57.60;       57.76;
   228744.78;       58.45;       56.79;
   228744.85;       55.95;       59.22;
   228744.97;       57.35;       57.64;
   228745.09;       56.62;       58.20;
   228745.12;       55.88;       58.91;
   228745.26;       58.89;       55.67;
   228745.30;       55.29;       59.25;
   228745.31;       58.26;       56.24;
   228745.33;       59.38;       55.08;
   228745.40;       59.60;       54.75;
   228745.45;       56.97;       57.34;
   228745.49;       58.18;       56.06;
   228745.66;       59.60;       54.39;
   228745.66;       54.93;       59.09;
   228745.73;       59.77;       54.12;
   228745.87;       56.27;       57.44;
   228745.89;       59.54;       54.12;
   228745.93;       58.93;       54.68;
   228745.93;       59.35;       54.25;
   228745.97;       59.11;       54.44;
   228745.98;       55.88;       57.69;
   228745.98;       57.95;       55.59;
   228746.19;       55.08;       58.19;
   228746.20;       56.65;       56.60;
   228746.27;       57.11;       56.03;
   228746.33;       54.78;       58.29;
   228746.46;       54.31;       58.59;
   228746.51;       53.71;       59.12;
   228746.59;       54.79;       57.91;
   228746.63;       54.31;       58.35;
   228746.74;       52.61;       59.90;
   228746.81;       59.07;       53.28;
   228746.85;       55.09;       57.24;
   228746.89;       54.66;       57.62;
   228746.93;       57.16;       55.04;
   228746.99;       57.52;       54.59;
   228747.10;       57.12;       54.84;
   228747.17;       55.57;       56.31;
   228747.18;       57.38;       54.46;
   228747.19;       58.36;       53.47;
   228747.24;       56.68;       55.09;
   228747.30;       54.35;       57.35;
   228747.32;       53.00;       58.68;
   228747.33;       59.51;       52.11;
   228747.35;       52.48;       59.17;
   228747.35;       55.02;       56.60;
   228747.37;       54.43;       57.17;
   228747.38;       59.05;       52.50;
   228747.40;       56.87;       54.67;
   228747.57;       58.69;       52.59;
   228747.57;       54.78;       56.53;
   228747.59;       59.62;       51.63;
   228747.61;       58.17;       53.06;
   228747.62;       54.79;       56.45;
   228747.63;       54.02;       57.21;
   228747.65;       54.38;       56.82;
   228747.67;       52.44;       58.75;
   228747.70;       55.50;       55.62;
   228747.72;       54.38;       56.72;
   228747.83;       59.19;       51.72;
   228747.83;       58.80;       52.11;
   228747.86;       51.89;       59.04;
   228747.94;       53.63;       57.17;
   228747.94;       54.05;       56.74;
   228747.95;       59.01;       51.73;
   228747.96;       55.49;       55.26;
   228747.99;       57.38;       53.31;
   228748.03;       52.34;       58.34;
   228748.04;       54.29;       56.36;
   228748.05;       59.32;       51.27;
   228748.13;       56.60;       53.90;
   228748.14;       59.20;       51.27;
   228748.16;       51.32;       59.18;
   228748.19;       51.15;       59.32;
   228748.20;       53.55;       56.88;
   228748.21;       54.56;       55.84;
   228748.31;       59.15;       51.07;
   228748.34;       58.98;       51.20;
   228748.35;       51.97;       58.26;
   228748.38;       50.36;       59.84;
   228748.43;       56.85;       53.22;
   228748.44;       50.70;       59.42;
   228748.44;       59.69;       50.35;
   228748.59;       53.96;       55.91;
   228748.61;       57.09;       52.72;
   228748.62;       54.34;       55.49;
   228748.63;       55.36;       54.44;
   228748.65;       58.69;       51.06;
   228748.69;       53.54;       56.19;
   228748.77;       50.72;       58.93;
   228748.80;       56.79;       52.76;
   228748.81;       56.21;       53.33;
   228748.83;       57.23;       52.27;
   228748.86;       59.31;       50.13;
   228748.93;       51.55;       57.86;
   228748.93;       53.70;       55.69;
   228748.98;       57.65;       51.63;
   228749.00;       59.08;       50.16;
   228749.05;       55.83;       53.38;
   228749.07;       59.03;       50.11;
   228749.10;       58.76;       50.35;
   228749.16;       52.60;       56.47;
   228749.17;       50.84;       58.23;
   228749.19;       54.75;       54.26;
   228749.22;       49.68;       59.33;
   228749.23;       56.08;       52.87;
   228749.23;       59.44;       49.47;
   228749.29;       57.69;       51.16;
   228749.32;       49.24;       59.64;
   228749.37;       49.97;       58.83;
   228749.43;       58.48;       50.16;
   228749.44;       50.59;       58.11;
   228749.48;       56.02;       52.57;
   228749.49;       53.80;       54.80;
   228749.51;       54.01;       54.56;
   228749.51;       56.33;       52.21;
   228749.52;       50.04;       58.54;
   228749.59;       52.79;       55.67;
   228749.61;       56.25;       52.16;
   228749.61;       59.60;       48.77;
   228749.65;       49.55;       58.86;
   228749.67;       59.85;       48.44;
   228749.67;       57.46;       50.85;
   228749.67;       55.92;       52.40;
   228749.70;       57.50;       50.77;
   228749.71;       53.61;       54.68;
   228749.72;       56.13;       52.12;
   228749.74;       52.33;       55.93;
   228749.74;       56.78;       51.43;
   228749.75;       54.32;       53.90;
   228749.79;       50.72;       57.48;
   228749.79;       48.86;       59.35;
   228749.80;       56.88;       51.25;
   228749.86;       57.80;       50.23;
   228749.90;       50.21;       57.83;
   228749.91;       56.48;       51.50;
   228749.94;       53.39;       54.57;
   228750.01;       48.50;       59.41;
   228750.01;       54.99;       52.86;
   228750.01;       51.04;       56.84;
   228750.03;       48.17;       59.71;
   228750.03;       48.98;       58.89;
   228750.05;       53.13;       54.67;
   228750.06;       59.19;       48.55;
   228750.07;       57.66;       50.08;
   228750.16;       48.12;       59.58;
   228750.17;       57.80;       49.80;
   228750.17;       48.78;       58.89;
   228750.18;       59.35;       48.22;
   228750.19;       54.70;       52.90;
   228750.19;       57.50;       50.07;
   228750.19;       48.10;       59.55;
   228750.22;       58.43;       49.09;
   228750.22;       56.81;       50.72;
   228750.23;       54.30;       53.24;
   228750.23;       48.42;       59.17;
   228750.27;       59.59;       47.85;
   228750.28;       54.05;       53.42;
   228750.29;       58.75;       48.66;
   228750.30;       53.32;       54.13;
   228750.30;       58.41;       48.99;
   228750.31;       58.00;       49.40;
   228750.34;       49.09;       58.34;
   228750.36;       52.89;       54.48;
   228750.36;       58.63;       48.69;
   228750.37;       57.12;       50.19;
   228750.41;       50.38;       56.94;
   228750.52;       49.73;       57.44;
   228750.52;       52.83;       54.31;
   228750.55;       54.40;       52.68;
   228750.56;       58.38;       48.65;
   228750.57;       48.82;       58.28;
   228750.58;       56.17;       50.86;
   228750.58;       56.72;       50.30;
   228750.58;       57.77;       49.24;
   228750.59;       59.28;       47.70;
   228750.65;       55.51;       51.42;
   228750.67;       56.41;       50.49;
   228750.68;       54.78;       52.11;
   228750.70;       57.65;       49.20;
   228750.72;       49.72;       57.17;
   228750.73;       52.43;       54.42;
   228750.76;       55.07;       51.71;
   228750.78;       57.32;       49.41;
   228750.78;       50.36;       56.43;
   228750.79;       53.18;       53.58;
   228750.80;       52.81;       53.93;
   228750.81;       58.34;       48.34;
   228750.81;       59.15;       47.52;
   228750.82;       56.26;       50.43;
   228750.83;       50.14;       56.59;
   228750.83;       55.17;       51.51;
   228750.86;       54.87;       51.77;
   228750.88;       49.50;       57.16;
   228750.90;       55.88;       50.70;
   228750.90;       51.62;       54.99;
   228750.92;       56.48;       50.06;
   228750.94;       50.36;       56.20;
   228750.95;       47.96;       58.61;
   228751.01;       46.61;       59.89;
   228751.01;       57.27;       49.13;
   228751.02;       54.77;       51.65;
   228751.04;       47.87;       58.57;
   228751.07;       48.31;       58.09;
   228751.08;       47.01;       59.38;
   228751.10;       49.54;       56.81;
   228751.10;       49.49;       56.85;
   228751.12;       57.14;       49.11;
   228751.13;       56.27;       49.98;
   228751.13;       57.47;       48.76;
   228751.15;       57.50;       48.71;
   228751.15;       59.64;       46.55;
   228751.18;       52.06;       54.15;
   228751.19;       46.26;       59.99;
   228751.24;       49.23;       56.92;
   228751.25;       58.40;       47.65;
   228751.26;       55.90;       50.17;
   228751.31;       50.98;       55.06;
   228751.31;       55.23;       50.77;
   228751.44;       58.37;       47.41;
   228751.47;       58.73;       47.01;
   228751.49;       54.94;       50.81;
